"id","gender","minimum_age","maximum_age","minimum_value","maximum_value","default","exam_id","reference_id"
"1","",,,,"5.70","true","1","1"
"2","",,,"5.70","6.40","false","1","2"
"3","",,,"6.40",,"false","1","3"
"4","",,,"70.00","99.00","true","2",
"11","",,,"80.00","96.00","true","6",
"12","",,,"27.00","33.00","true","7",
"13","",,,"32.00","36.00","true","8",
"14","",,,"11.50","14.50","true","9",
"16","",,,"4.00","11.00","true","10",
"17","",,,"0.00","1.00","true","11",
"18","",,,"1.00","5.00","true","12",
"19","",,,"1.00","7.00","true","15",
"20","",,,"40.00","65.00","true","16",
"21","",,,"22.00","45.00","true","17",
"22","",,,"2.00","10.00","true","18",
"23","","12.000",,"150.00","450.00","true","19","4"
"24","","0.000","12.000","150.00","550.00","true","19","5"
"25","","0.000","12.000","11.00","38.00","true","21","5"
"26","","12.000","60.000","13.00","43.00","true","21","6"
"27","","60.000",,"17.00","49.00","true","21","7"
"443",,"70.000","79.000",,"6.50","true","185",
"30","","0.000","12.000","0.30","0.70","true","22","5"
"440",,,"49.000",,"2.50","true","185",
"35","","0.000","0.010",,"250.00","true","25","8"
"36","","0.010","0.020",,"231.00","true","25","9"
"37","","0.020","0.580",,"449.00","true","25","10"
"38","","0.580","1.000",,"462.00","true","25","11"
"39","","1.000","3.000",,"281.00","true","25","12"
"40","","4.000","6.000",,"269.00","true","25","13"
"41","","7.000","12.000",,"300.00","true","25","14"
"33","M",,,"15.00","85.00","true","24",
"456",,,,"10.00","14.00","false","260","19"
"46","","19.000",,"200.00","239.00","true","26","18"
"47","","19.000",,,"200.00","false","26","17"
"48","","19.000",,"240.00",,"false","26","19"
"49","","2.000","19.000",,"150.00","false","26","17"
"50","","2.000","19.000","150.00","169.00","true","26","18"
"51","","2.000","19.000","170.00",,"false","26","19"
"52","","19.000",,,"150.00","false","27","17"
"53","","19.000",,"150.00","199.00","true","27","18"
"54","","19.000",,"200.00","499.00","false","27","19"
"55","","19.000",,"500.00",,"false","27","20"
"56","","2.000","19.000",,"100.00","false","27","17"
"57","","2.000","19.000","100.00","129.00","true","27","18"
"58","","2.000","19.000","130.00",,"false","27","19"
"59","","19.000",,"60.00",,"true","28","17"
"60","","19.000",,,"40.00","false","28","21"
"61","","2.000","19.000","45.00",,"true","28","17"
"62","",,,,"130.00","false","30","22"
"63","",,,"130.00","159.00","true","30","17"
"64","",,,"160.00","189.00","false","30","19"
"65","",,,"190.00",,"false","30","20"
"34","F",,,"5.00","55.00","true","24",
"70","","14.000","60.000","0.70","1.90","true","33",
"71","","60.000",,"0.70","1.70","true","33",
"72","",,,"180.00","914.00","true","34",
"74","",,,,"20.00","false","37","24"
"75","",,,"21.00","29.00","false","37","25"
"77","",,,"12.00","65.00","true","38",
"79","","20.000",,,"99.00","false","40","22"
"80","","20.000",,"100.00","129.00","false","40","17"
"81","","20.000",,"130.00","159.00","true","40","18"
"82","","20.000",,"160.00","189.00","false","40","19"
"83","","20.000",,"190.00",,"false","40","20"
"84","","2.000","19.000",,"99.00","false","40","17"
"85","","2.000","19.000","100.00","129.00","true","40","18"
"86","","2.000","19.000","130.00",,"false","40","19"
"89","",,,"1.30","18.40","false","42","23"
"90","","0.000","0.010","1.10","15.70","true","42","27"
"91","","0.020","0.190","0.60","9.20","true","42","28"
"92","","0.200","1.160","0.40","6.00","true","42","29"
"93","","1.170","5.000","0.40","5.20","true","42","30"
"94","","6.000","14.000","0.30","4.20","true","42",
"95","","15.000","60.000","0.30","4.30","true","42",
"42","M","12.000","17.000",,"390.00","true","25","15"
"78","",,,"205.00","285.00","true","39",
"76","",,,"30.00","100.00","true","37","26"
"7","M",,,"13.00","18.00","true","4",
"9","M",,,"40.00","54.00","true","5",
"28","M","12.000",,"0.70","1.30","true","22",
"31","M",,,"59.00","160.00","true","23",
"43","M","17.000",,"40.00","129.00","true","25","16"
"66","M",,,,"41.00","true","31",
"68","M",,,,"40.00","true","32",
"96","","61.000","79.000","0.40","5.80","true","42",
"97","","80.000",,"0.40","6.70","true","42",
